cell_label,brain_section_label,cluster_alias,average_correlation_score,x_section,y_section,z_section,x_reconstructed,y_reconstructed,z_reconstructed,parcellation_index,x_ccf,y_ccf,z_ccf,parcellation_division,parcellation_structure,parcellation_substructure,cfos
1019171907102040029-1,C57BL6J-638850.40,14956,0.656083743533387,5.16826834947507,4.650406732805357,7.2,5.175193151051533,4.6761667897898525,7.2,179,6.820259023702274,3.133923280415228,5.337261828452005,TH,LH,LH,2
1019171907102040399-2,C57BL6J-638850.40,14983,0.534945074263044,4.95960228997692,4.71064604661692,7.2,5.002097369710324,4.739442997531611,7.2,179,6.808947230383522,3.1963045425118835,5.167733515582597,TH,LH,LH,2
1104095349101960276-2,C57BL6J-638850.39,14956,0.628644336552942,4.994644785840267,4.860199588811565,7.0,4.925370529936546,4.692504700571218,7.0,179,6.991612370068928,3.154498413876735,5.0786897495371015,TH,LH,LH,2
1017092617101800136-1,C57BL6J-638850.38,14956,0.58883951666141,6.01901309437671,4.631788200563374,6.800000000000001,6.22205761152751,4.599906341189128,6.800000000000001,179,7.219564324815608,3.078201673973301,6.412421671794659,TH,LH,LH,2
1019171907101690366-1,C57BL6J-638850.40,14956,0.637497779204141,5.959728517898603,4.916441629019328,7.2,5.9794506593453205,4.9013492721366445,7.2,179,6.816291002701671,3.4085997736947418,6.15167046687754,TH,LH,LH,1
1019171906102190957,C57BL6J-638850.42,14865,0.605208513306164,6.110570381584559,4.440096849345185,7.6,5.9636402742672185,4.748499117119231,7.6,179,6.473345475217538,3.218718912065036,6.146586174825579,TH,LH,LH,0
1017092617101770126-1,C57BL6J-638850.38,14956,0.603456564538744,4.572159945657138,4.891751425384864,6.800000000000001,4.825878932796701,4.710655384821796,6.800000000000001,179,7.167067134177743,3.179517669177032,4.975110754082519,TH,LH,LH,2
1019171907102090589,C57BL6J-638850.37,14956,0.673295998442248,5.89996497035224,4.839954537408043,6.6000000000000005,5.918831237838584,4.731650637367023,6.6000000000000005,179,7.375314097953441,3.2338083579058683,6.089303137903986,TH,LH,LH,0
1019171907102040340-2,C57BL6J-638850.40,14956,0.571579075594351,5.037564977833076,4.856528631858527,7.2,5.0555547897743525,4.869157202221487,7.2,179,6.795159701832258,3.347235428586269,5.220017379031693,TH,LH,LH,2
1017092617101560984,C57BL6J-638850.38,14983,0.527119992840223,5.604710341124253,4.65276316876384,6.800000000000001,5.781204206311255,4.6796790698106046,6.800000000000001,179,7.198362387896886,3.1572979135831405,5.963914260673516,TH,LH,LH,0
1019171907102040538-2,C57BL6J-638850.40,14983,0.728435115804085,4.8538237086382505,4.660786647867356,7.2,4.9359765271705385,4.708622765676379,7.2,179,6.810042926130286,3.164509351227476,5.0951260863188335,TH,LH,LH,2
1017092617101790514-1,C57BL6J-638850.38,14962,0.647163035485538,5.579905518575501,4.844265735502403,6.800000000000001,5.727058697713768,4.774676299020591,6.800000000000001,179,7.184926979889062,3.270777306672983,5.898729634933171,TH,LH,LH,1
1019171907101860617,C57BL6J-638850.37,14983,0.691130483929871,5.156623063208871,4.884931712400306,6.6000000000000005,5.187907559890748,4.7639807858748044,6.6000000000000005,179,7.351558193647109,3.2530135679603336,5.346805689491764,TH,LH,LH,1
1017092617101800130-1,C57BL6J-638850.38,14956,0.503720292756896,5.864765716569831,4.664399778178291,6.800000000000001,6.024262491299315,4.669134620881954,6.800000000000001,179,7.205820173430973,3.154530386995327,6.208285007558959,TH,LH,LH,1
1019171907102040269,C57BL6J-638850.40,14930,0.522676316161446,5.036857522083739,4.658239209911361,7.2,5.068343044044684,4.689462685688444,7.2,179,6.815630925234815,3.148045351392025,5.228498968247701,TH,LH,LH,2
1019171906101990110,C57BL6J-638850.42,14962,0.693630112541862,5.180876104091093,4.66991664764978,7.6,4.922685243423628,4.950645309999556,7.6,179,6.420744606174726,3.4280758246171668,5.07923864941186,TH,LH,LH,0
1019171906101990149,C57BL6J-638850.42,14865,0.640342673967704,5.250907681867495,4.503942510579373,7.6,5.065413376858144,4.795770119148904,7.6,179,6.442654129528531,3.2546046766329573,5.22558602112192,TH,LH,LH,0
1019171907101680454-1,C57BL6J-638850.40,14983,0.611889887881948,5.869514289359294,4.498668872663191,7.2,5.870504548306715,4.594492101288255,7.2,179,6.849044585475175,3.056334136344536,6.049211883301441,TH,LH,LH,1
