cluster_alias,Xkr4,Gm1992,Gm19938,Gm37381,Rp1,Sox17,Gm37587,Gm37323,Mrpl15,Lypla1,Tcea1,Rgs20,Gm16041,Atp6v1h,Oprk1,Npbwr1,Rb1cc1,4732440D04Rik,Alkal1,St18,Pcmtd1,Gm26901,Gm30414,Sntg1,Rrs1,Adhfe1,2610203C22Rik,Vxn,Gm29520,Mybl1,Vcpip1,1700034P13Rik,Sgk3,Mcmdc2,Snhg6,Tcf24,Ppp1r42,Gm15818,Cops5,Cspp1,Arfgef1,Cpa6,Prex2,A830018L16Rik,Gm17644,Gm29663,Sulf1,Slco5a1,Gm29283,Prdm14,Ncoa2,Gm29570,Tram1,Lactb2,Xkr9,Eya1,Gm9947,Msc,Trpa1,Kcnb2,Terf1,Sbspon,4930444P10Rik,Rpl7,Rdh10,Gm28095,Stau2,Gm7568,Ube2w,Eloc,D030040B21Rik,Tmem70,Ly96,Gm28376,Jph1,Gm28783,Gdap1,Gm28784,Pi15,Gm28154,Gm16070,Crispld1,Gm28153,Gm28756,Crisp4,Defb18,Defb41,Gm15825,Tfap2d,Tfap2b,Gm28340,Pkhd1,4930486I03Rik,Gm28653,Il17a,Il17f,Mcm3,Gm28065,6720483E21Rik,Paqr8
1745,"(7.94741678237915, 2.6097095012664795, 100)","(0.9834359884262085, 2.562854051589966, 100)","(2.0493767261505127, 3.4055159091949463, 100)","(0.0, 0.0, 100)","(0.0, 0.0, 100)","(0.0, 0.0, 100)","(0.0, 0.0, 100)","(0.0, 0.0, 100)","(0.7968159317970276, 2.2856740951538086, 100)","(0.9802632331848145, 2.5537524223327637, 100)","(4.215620994567871, 3.857455015182495, 100)","(1.4140444993972778, 3.054039478302002, 100)","(0.0, 0.0, 100)","(1.9970996379852295, 3.406590223312378, 100)","(0.2328609675168991, 1.3310703039169312, 100)","(0.30143871903419495, 1.4856328964233398, 100)","(3.076134443283081, 3.809035301208496, 100)","(0.3719155192375183, 1.6334172487258911, 100)","(0.0, 0.0, 100)","(0.07237258553504944, 0.7237259149551392, 100)","(3.708073616027832, 3.9875025749206543, 100)","(0.1540304571390152, 1.0836467742919922, 100)","(0.0, 0.0, 100)","(8.912016868591309, 2.0058162212371826, 100)","(0.897780179977417, 2.4474244117736816, 100)","(0.0, 0.0, 100)","(0.0, 0.0, 100)","(0.1392475962638855, 0.983564555644989, 100)","(0.0, 0.0, 100)","(0.0, 0.0, 100)","(1.7691634893417358, 3.268660068511963, 100)","(0.06707630306482315, 0.6707630753517151, 100)","(0.07444271445274353, 0.7444270849227905, 100)","(0.9667665362358093, 2.524717092514038, 100)","(1.7769731283187866, 3.1838626861572266, 100)","(0.0, 0.0, 100)","(0.0749715119600296, 0.7497151494026184, 100)","(0.0, 0.0, 100)","(1.4350831508636475, 2.9812378883361816, 100)","(3.7961413860321045, 3.9257280826568604, 100)","(2.2976856231689453, 3.4710729122161865, 100)","(0.0759199783205986, 0.7591997385025024, 100)","(0.07237258553504944, 0.7237259149551392, 100)","(0.32040271162986755, 1.5825141668319702, 100)","(0.0, 0.0, 100)","(0.0, 0.0, 100)","(0.0, 0.0, 100)","(0.07478711754083633, 0.7478712201118469, 100)","(0.0, 0.0, 100)","(0.0, 0.0, 100)","(3.599810838699341, 3.947101593017578, 100)","(0.14021067321300507, 0.9875991344451904, 100)","(1.418701171875, 2.9654335975646973, 100)","(0.29358983039855957, 1.4457118511199951, 100)","(0.0, 0.0, 100)","(0.4355907142162323, 1.7420952320098877, 100)","(0.0, 0.0, 100)","(0.13303127884864807, 0.9402866959571838, 100)","(0.06014028936624527, 0.6014028787612915, 100)","(4.941572189331055, 4.298281669616699, 100)","(2.0469515323638916, 3.39855694770813, 100)","(0.0, 0.0, 100)","(0.15061677992343903, 1.0596767663955688, 100)","(9.196964263916016, 1.202256679534912, 100)","(0.6791123747825623, 2.172550678253174, 100)","(0.0, 0.0, 100)","(5.551414966583252, 3.9626030921936035, 100)","(0.06996915489435196, 0.6996915936470032, 100)","(4.115874767303467, 3.9273886680603027, 100)","(3.6234540939331055, 3.886685848236084, 100)","(0.0, 0.0, 100)","(1.0760265588760376, 2.579911470413208, 100)","(0.0, 0.0, 100)","(0.0, 0.0, 100)","(0.0, 0.0, 100)","(0.0, 0.0, 100)","(4.442809581756592, 3.9961462020874023, 100)","(0.0, 0.0, 100)","(0.0, 0.0, 100)","(0.0, 0.0, 100)","(0.07376603037118912, 0.73766028881073, 100)","(0.0, 0.0, 100)","(0.07601672410964966, 0.7601672410964966, 100)","(0.15200215578079224, 1.0696505308151245, 100)","(0.0, 0.0, 100)","(0.0, 0.0, 100)","(0.0, 0.0, 100)","(0.0, 0.0, 100)","(0.0, 0.0, 100)","(0.0, 0.0, 100)","(0.0, 0.0, 100)","(0.07756791263818741, 0.7756791710853577, 100)","(0.0, 0.0, 100)","(0.0, 0.0, 100)","(0.0, 0.0, 100)","(0.0, 0.0, 100)","(0.0, 0.0, 100)","(0.0, 0.0, 100)","(0.0, 0.0, 100)","(0.30834904313087463, 1.5196444988250732, 100)"
1790,"(8.948236465454102, 1.6274256706237793, 176)","(1.1843513250350952, 2.582833766937256, 176)","(3.435621738433838, 3.601335048675537, 176)","(0.0, 0.0, 176)","(0.038037918508052826, 0.5046300292015076, 176)","(0.0, 0.0, 176)","(0.0, 0.0, 176)","(0.0, 0.0, 176)","(1.497515082359314, 2.7858469486236572, 176)","(2.7712388038635254, 3.450993299484253, 176)","(4.551650524139404, 3.549852132797241, 176)","(3.2730345726013184, 3.558232069015503, 176)","(0.0, 0.0, 176)","(3.474505662918091, 3.553628444671631, 176)","(3.259885549545288, 3.534186363220215, 176)","(0.15197889506816864, 1.006604552268982, 176)","(4.331745624542236, 3.6219825744628906, 176)","(0.3519590198993683, 1.523380160331726, 176)","(0.0, 0.0, 176)","(0.24251407384872437, 1.3018441200256348, 176)","(5.586890697479248, 3.1018004417419434, 176)","(0.3508390188217163, 1.4369944334030151, 176)","(0.0, 0.0, 176)","(5.661436080932617, 3.258965253829956, 176)","(1.143254041671753, 2.537135601043701, 176)","(0.20948868989944458, 1.120152235031128, 176)","(0.0, 0.0, 176)","(0.2571868896484375, 1.2749528884887695, 176)","(0.0, 0.0, 176)","(0.15811115503311157, 1.043245792388916, 176)","(4.820310592651367, 3.408459424972534, 176)","(0.11411270499229431, 0.869059145450592, 176)","(0.43993598222732544, 1.6355241537094116, 176)","(0.22640277445316315, 1.2156410217285156, 176)","(2.5870230197906494, 3.3017542362213135, 176)","(0.0, 0.0, 176)","(0.14351822435855865, 0.9444229006767273, 176)","(0.0, 0.0, 176)","(1.9871197938919067, 3.1049997806549072, 176)","(4.655831813812256, 3.4993269443511963, 176)","(5.138636112213135, 3.4021520614624023, 176)","(0.036582522094249725, 0.4853219985961914, 176)","(0.034484829753637314, 0.45749297738075256, 176)","(0.23788638412952423, 1.279495120048523, 176)","(0.0, 0.0, 176)","(0.0, 0.0, 176)","(0.0, 0.0, 176)","(0.5207157731056213, 1.78835129737854, 176)","(0.0, 0.0, 176)","(0.0, 0.0, 176)","(5.280354976654053, 3.346071481704712, 176)","(0.15760205686092377, 1.037415862083435, 176)","(1.9603453874588013, 3.1366794109344482, 176)","(0.7329172492027283, 2.122619390487671, 176)","(0.0, 0.0, 176)","(0.0, 0.0, 176)","(0.0, 0.0, 176)","(0.031881872564554214, 0.4229608178138733, 176)","(0.0, 0.0, 176)","(7.432307243347168, 2.657590389251709, 176)","(1.7333343029022217, 2.937507152557373, 176)","(0.0, 0.0, 176)","(0.03699079528450966, 0.4907383322715759, 176)","(7.9746809005737305, 2.162004232406616, 176)","(0.4022207260131836, 1.568638563156128, 176)","(0.0, 0.0, 176)","(7.254873275756836, 2.417360544204712, 176)","(0.0, 0.0, 176)","(5.790792942047119, 3.2336373329162598, 176)","(5.990016460418701, 3.1245276927948, 176)","(0.0, 0.0, 176)","(2.0521860122680664, 3.1127302646636963, 176)","(0.0, 0.0, 176)","(0.034932538866996765, 0.4634324908256531, 176)","(0.04158027470111847, 0.5516246557235718, 176)","(0.0, 0.0, 176)","(5.56437349319458, 3.349958896636963, 176)","(0.0, 0.0, 176)","(0.0, 0.0, 176)","(0.0, 0.0, 176)","(0.0, 0.0, 176)","(0.1139872744679451, 0.8717555403709412, 176)","(0.03770272806286812, 0.5001832246780396, 176)","(0.4787011444568634, 1.7037196159362793, 176)","(0.0, 0.0, 176)","(0.0, 0.0, 176)","(0.0, 0.0, 176)","(0.0, 0.0, 176)","(0.0, 0.0, 176)","(0.0, 0.0, 176)","(0.0, 0.0, 176)","(0.0, 0.0, 176)","(0.0, 0.0, 176)","(0.0, 0.0, 176)","(0.0, 0.0, 176)","(0.0, 0.0, 176)","(0.0, 0.0, 176)","(0.0, 0.0, 176)","(0.032670099288225174, 0.4334178566932678, 176)","(0.48299407958984375, 1.7194888591766357, 176)"
1794,"(9.588398933410645, 0.9946861863136292, 249)","(1.5004398822784424, 2.810119152069092, 249)","(4.507795810699463, 3.4766998291015625, 249)","(0.0, 0.0, 249)","(0.031238088384270668, 0.49292871356010437, 249)","(0.0, 0.0, 249)","(0.0, 0.0, 249)","(0.0, 0.0, 249)","(1.5896358489990234, 2.8142549991607666, 249)","(2.880887746810913, 3.410935878753662, 249)","(4.8800506591796875, 3.426034688949585, 249)","(2.9201769828796387, 3.4629006385803223, 249)","(0.0, 0.0, 249)","(3.591439723968506, 3.505401134490967, 249)","(1.2019624710083008, 2.6185333728790283, 249)","(0.0, 0.0, 249)","(4.3598103523254395, 3.571857213973999, 249)","(0.4075576364994049, 1.5628983974456787, 249)","(0.0, 0.0, 249)","(0.1815730184316635, 1.0704936981201172, 249)","(5.644725322723389, 3.274686336517334, 249)","(0.43253111839294434, 1.6604454517364502, 249)","(0.0, 0.0, 249)","(6.523114204406738, 3.134814739227295, 249)","(1.2124651670455933, 2.5670716762542725, 249)","(0.08168716728687286, 0.7457552552223206, 249)","(0.02344798482954502, 0.37000295519828796, 249)","(0.40022146701812744, 1.588427186012268, 249)","(0.0, 0.0, 249)","(0.09758695214986801, 0.7688590288162231, 249)","(4.187033653259277, 3.4543771743774414, 249)","(0.13231828808784485, 0.9280743598937988, 249)","(0.8686932325363159, 2.235473155975342, 249)","(0.1879834681749344, 1.111867070198059, 249)","(3.123013973236084, 3.49448299407959, 249)","(0.0278353039175272, 0.4392336905002594, 249)","(0.3412466049194336, 1.4610295295715332, 249)","(0.0, 0.0, 249)","(2.2710490226745605, 3.1887550354003906, 249)","(4.738340854644775, 3.414260149002075, 249)","(5.042183876037598, 3.3781557083129883, 249)","(0.02621994912624359, 0.413743793964386, 249)","(0.08918598294258118, 0.8111580610275269, 249)","(0.8762738704681396, 2.345554828643799, 249)","(0.0, 0.0, 249)","(0.0, 0.0, 249)","(0.026019394397735596, 0.410579115152359, 249)","(0.5761961340904236, 1.8628782033920288, 249)","(0.0, 0.0, 249)","(0.0, 0.0, 249)","(5.759383201599121, 3.1184844970703125, 249)","(0.08183269202709198, 0.7431110739707947, 249)","(1.8500776290893555, 3.044999361038208, 249)","(0.8820858597755432, 2.2313296794891357, 249)","(0.0, 0.0, 249)","(0.0, 0.0, 249)","(0.02710464410483837, 0.4277040660381317, 249)","(0.0, 0.0, 249)","(0.0, 0.0, 249)","(7.700113296508789, 2.656259298324585, 249)","(1.4313883781433105, 2.7464542388916016, 249)","(0.025992177426815033, 0.41014963388442993, 249)","(0.096634641289711, 0.759987473487854, 249)","(8.17828369140625, 1.8352243900299072, 249)","(0.660387396812439, 1.9872881174087524, 249)","(0.0, 0.0, 249)","(7.00481653213501, 2.6035356521606445, 249)","(0.027119344100356102, 0.42793601751327515, 249)","(5.370797157287598, 3.301619052886963, 249)","(6.321692943572998, 2.8543314933776855, 249)","(0.0, 0.0, 249)","(2.055529832839966, 3.1252384185791016, 249)","(0.07705453038215637, 0.7029021978378296, 249)","(0.13176126778125763, 0.9257713556289673, 249)","(0.09926310926675797, 0.7784906625747681, 249)","(0.0, 0.0, 249)","(5.811555862426758, 3.209050416946411, 249)","(0.0, 0.0, 249)","(0.0, 0.0, 249)","(0.025952093303203583, 0.4095171391963959, 249)","(0.1743072271347046, 1.0321279764175415, 249)","(0.13587234914302826, 0.9534996747970581, 249)","(0.05004797875881195, 0.557468831539154, 249)","(0.5557381510734558, 1.8410195112228394, 249)","(0.0, 0.0, 249)","(0.0, 0.0, 249)","(0.0, 0.0, 249)","(0.0, 0.0, 249)","(0.0, 0.0, 249)","(0.0, 0.0, 249)","(0.0, 0.0, 249)","(0.051746100187301636, 0.5780520439147949, 249)","(0.0, 0.0, 249)","(0.0, 0.0, 249)","(0.0, 0.0, 249)","(0.0, 0.0, 249)","(0.0, 0.0, 249)","(0.0, 0.0, 249)","(0.13049781322479248, 0.9150307178497314, 249)","(0.39178523421287537, 1.553818941116333, 249)"
2200,"(8.257760047912598, 2.034111738204956, 61)","(1.3543646335601807, 2.631150007247925, 61)","(3.1314847469329834, 3.456773281097412, 61)","(0.0, 0.0, 61)","(0.0, 0.0, 61)","(0.0, 0.0, 61)","(0.0, 0.0, 61)","(0.0, 0.0, 61)","(1.6454371213912964, 2.920619010925293, 61)","(2.0039796829223633, 3.1408395767211914, 61)","(4.660599231719971, 3.4653096199035645, 61)","(2.6914680004119873, 3.2788307666778564, 61)","(0.0, 0.0, 61)","(4.414128303527832, 3.401329755783081, 61)","(1.0224283933639526, 2.5000429153442383, 61)","(0.19007307291030884, 1.0424981117248535, 61)","(4.959239482879639, 3.4066476821899414, 61)","(0.7905200719833374, 2.219559669494629, 61)","(0.0, 0.0, 61)","(0.0, 0.0, 61)","(4.273592472076416, 3.632535934448242, 61)","(0.31009411811828613, 1.376270055770874, 61)","(0.0, 0.0, 61)","(7.9440436363220215, 2.535529613494873, 61)","(0.8501375317573547, 2.211556911468506, 61)","(0.1065782755613327, 0.8324028849601746, 61)","(0.0, 0.0, 61)","(0.21686100959777832, 1.1876575946807861, 61)","(0.0, 0.0, 61)","(0.31317710876464844, 1.3959333896636963, 61)","(4.011525630950928, 3.5271928310394287, 61)","(0.0, 0.0, 61)","(0.09297551214694977, 0.7261619567871094, 61)","(0.33660218119621277, 1.5037916898727417, 61)","(1.5326064825057983, 2.8523356914520264, 61)","(0.0, 0.0, 61)","(0.10796202719211578, 0.8432103991508484, 61)","(0.0, 0.0, 61)","(1.427890658378601, 2.779324531555176, 61)","(5.115234851837158, 3.386481523513794, 61)","(5.315484523773193, 3.1203386783599854, 61)","(0.5477036833763123, 1.8549387454986572, 61)","(1.9690760374069214, 3.0870776176452637, 61)","(5.390764236450195, 3.7445902824401855, 61)","(0.0, 0.0, 61)","(0.0, 0.0, 61)","(2.047065258026123, 3.345604181289673, 61)","(0.5324351787567139, 1.8001751899719238, 61)","(0.0, 0.0, 61)","(0.0, 0.0, 61)","(4.7129011154174805, 3.4996659755706787, 61)","(0.33025404810905457, 1.4657717943191528, 61)","(2.8304452896118164, 3.3381354808807373, 61)","(0.5885142683982849, 1.7999249696731567, 61)","(0.0, 0.0, 61)","(0.09297551214694977, 0.7261619567871094, 61)","(0.6172860860824585, 1.8879115581512451, 61)","(0.10876782238483429, 0.8495038747787476, 61)","(0.0, 0.0, 61)","(8.507523536682129, 1.7916250228881836, 61)","(2.562556028366089, 3.337662696838379, 61)","(0.08990179747343063, 0.7021554708480835, 61)","(0.7723239660263062, 2.1712331771850586, 61)","(8.359842300415039, 2.090216875076294, 61)","(0.5350559949874878, 1.8126965761184692, 61)","(0.0, 0.0, 61)","(7.00075626373291, 2.4210002422332764, 61)","(0.08990179747343063, 0.7021554708480835, 61)","(6.164651870727539, 2.695345640182495, 61)","(4.290950298309326, 3.517880916595459, 61)","(0.09848568588495255, 0.7691978216171265, 61)","(3.1209089756011963, 3.4377598762512207, 61)","(0.3148146867752075, 1.397474765777588, 61)","(0.21402637660503387, 1.1721556186676025, 61)","(0.10606434941291809, 0.828389048576355, 61)","(0.0, 0.0, 61)","(6.161706924438477, 2.8484675884246826, 61)","(0.0979478731751442, 0.7649973034858704, 61)","(0.11215957254171371, 0.8759942650794983, 61)","(0.0, 0.0, 61)","(0.2062053233385086, 1.1368329524993896, 61)","(0.21566544473171234, 1.1917222738265991, 61)","(0.09135261923074722, 0.7134867906570435, 61)","(0.29097747802734375, 1.2901346683502197, 61)","(0.0, 0.0, 61)","(0.0, 0.0, 61)","(0.0, 0.0, 61)","(0.10973312705755234, 0.8570431470870972, 61)","(0.2074117660522461, 1.1378649473190308, 61)","(0.0, 0.0, 61)","(0.0, 0.0, 61)","(0.0, 0.0, 61)","(0.0, 0.0, 61)","(0.0, 0.0, 61)","(0.0, 0.0, 61)","(0.0, 0.0, 61)","(0.0, 0.0, 61)","(0.0, 0.0, 61)","(0.0, 0.0, 61)","(0.7683536410331726, 2.1646363735198975, 61)"
2301,"(7.639716625213623, 0.9841918349266052, 3)","(2.0165441036224365, 3.4927570819854736, 3)","(2.1723618507385254, 3.762641191482544, 3)","(0.0, 0.0, 3)","(2.1723618507385254, 3.762641191482544, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(2.1579771041870117, 3.7377259731292725, 3)","(2.1723618507385254, 3.762641191482544, 3)","(2.1723618507385254, 3.762641191482544, 3)","(0.0, 0.0, 3)","(4.712362289428711, 4.118115425109863, 3)","(5.517738342285156, 4.782085418701172, 3)","(0.0, 0.0, 3)","(5.028911590576172, 4.384307384490967, 3)","(2.1723618507385254, 3.762641191482544, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(4.9916605949401855, 4.3229594230651855, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(8.815791130065918, 0.02916325256228447, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(2.1579771041870117, 3.7377259731292725, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(6.346883296966553, 0.25832927227020264, 3)","(7.531660556793213, 0.079522505402565, 3)","(6.870339870452881, 0.6495850086212158, 3)","(2.488597869873047, 4.310378074645996, 3)","(2.34623384475708, 4.063796043395996, 3)","(7.532774448394775, 0.8796436190605164, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(4.519607067108154, 3.98154616355896, 3)","(0.0, 0.0, 3)","(2.5030624866485596, 4.3354315757751465, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(9.054957389831543, 0.4435316026210785, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(2.0165441036224365, 3.4927570819854736, 3)","(9.664116859436035, 0.7568992376327515, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(8.00136661529541, 0.47705718874931335, 3)","(0.0, 0.0, 3)","(7.201380252838135, 0.8209669589996338, 3)","(2.1723618507385254, 3.762641191482544, 3)","(0.0, 0.0, 3)","(2.1723618507385254, 3.762641191482544, 3)","(0.0, 0.0, 3)","(4.188906192779541, 3.635220527648926, 3)","(2.0165441036224365, 3.4927570819854736, 3)","(0.0, 0.0, 3)","(6.870339870452881, 0.6495850086212158, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)","(0.0, 0.0, 3)"
2303,"(8.629783630371094, 0.8541077971458435, 24)","(1.0728440284729004, 2.4534692764282227, 24)","(2.4281489849090576, 3.2072298526763916, 24)","(0.0, 0.0, 24)","(0.0, 0.0, 24)","(0.0, 0.0, 24)","(0.0, 0.0, 24)","(0.0, 0.0, 24)","(1.3927141427993774, 2.8065919876098633, 24)","(1.101570725440979, 2.522630453109741, 24)","(4.6428608894348145, 3.4024126529693604, 24)","(3.3351919651031494, 3.730403184890747, 24)","(0.0, 0.0, 24)","(3.636786699295044, 3.4359142780303955, 24)","(1.3595190048217773, 2.717590093612671, 24)","(0.0, 0.0, 24)","(3.7466537952423096, 3.869777202606201, 24)","(0.24080564081668854, 1.1797019243240356, 24)","(0.0, 0.0, 24)","(0.261919230222702, 1.2831369638442993, 24)","(4.6869988441467285, 3.4202945232391357, 24)","(0.261919230222702, 1.2831369638442993, 24)","(0.0, 0.0, 24)","(8.359560012817383, 0.845172107219696, 24)","(1.6644630432128906, 2.981410264968872, 24)","(0.0, 0.0, 24)","(0.0, 0.0, 24)","(0.5095682740211487, 1.7264102697372437, 24)","(0.0, 0.0, 24)","(0.0, 0.0, 24)","(3.281684637069702, 3.6822242736816406, 24)","(0.28470078110694885, 1.3947432041168213, 24)","(0.2666738033294678, 1.3064295053482056, 24)","(0.8627519607543945, 2.333202838897705, 24)","(2.201037645339966, 3.190927743911743, 24)","(0.0, 0.0, 24)","(0.0, 0.0, 24)","(0.0, 0.0, 24)","(1.8752442598342896, 2.9903290271759033, 24)","(6.034099578857422, 2.846433401107788, 24)","(6.462194442749023, 2.081876754760742, 24)","(0.5878422260284424, 2.008272409439087, 24)","(2.5858685970306396, 3.4296059608459473, 24)","(5.937004566192627, 2.8152642250061035, 24)","(0.0, 0.0, 24)","(0.0, 0.0, 24)","(0.2651519179344177, 1.298973798751831, 24)","(0.5588601231575012, 1.89382803440094, 24)","(0.0, 0.0, 24)","(0.0, 0.0, 24)","(4.243574619293213, 3.708054542541504, 24)","(0.2574158012866974, 1.2610746622085571, 24)","(2.4949705600738525, 3.2997283935546875, 24)","(0.0, 0.0, 24)","(0.0, 0.0, 24)","(0.0, 0.0, 24)","(1.0259376764297485, 2.3455207347869873, 24)","(0.0, 0.0, 24)","(0.5385837554931641, 1.8249666690826416, 24)","(7.402537822723389, 2.976532220840454, 24)","(1.7426179647445679, 3.097491502761841, 24)","(0.0, 0.0, 24)","(1.5949732065200806, 2.8327763080596924, 24)","(9.144471168518066, 0.7658693790435791, 24)","(0.2758226692676544, 1.3512495756149292, 24)","(0.0, 0.0, 24)","(7.401075839996338, 1.7612805366516113, 24)","(0.0, 0.0, 24)","(4.928951263427734, 3.6175484657287598, 24)","(4.872434139251709, 3.2485463619232178, 24)","(0.0, 0.0, 24)","(2.868046522140503, 3.489222526550293, 24)","(0.0, 0.0, 24)","(0.24080564081668854, 1.1797019243240356, 24)","(1.0730282068252563, 2.453009843826294, 24)","(0.0, 0.0, 24)","(7.037059307098389, 1.7491505146026611, 24)","(0.0, 0.0, 24)","(0.27442610263824463, 1.3444077968597412, 24)","(1.0905247926712036, 2.498506546020508, 24)","(1.7130438089370728, 3.049903154373169, 24)","(0.5350132584571838, 1.8135579824447632, 24)","(1.1053889989852905, 2.5359203815460205, 24)","(0.8100358843803406, 2.1914188861846924, 24)","(0.0, 0.0, 24)","(0.0, 0.0, 24)","(0.0, 0.0, 24)","(0.0, 0.0, 24)","(0.5422460436820984, 1.8374567031860352, 24)","(0.0, 0.0, 24)","(0.0, 0.0, 24)","(0.0, 0.0, 24)","(0.0, 0.0, 24)","(0.0, 0.0, 24)","(0.0, 0.0, 24)","(0.0, 0.0, 24)","(0.0, 0.0, 24)","(0.0, 0.0, 24)","(0.26743724942207336, 1.3101695775985718, 24)","(1.610548973083496, 2.852198839187622, 24)"
