cluster_alias,Xkr4,Xkr4,Xkr4,Gm1992,Gm1992,Gm1992,Gm19938,Gm19938,Gm19938,Gm37381,Gm37381,Gm37381,Rp1,Rp1,Rp1,Sox17,Sox17,Sox17,Gm37587,Gm37587,Gm37587,Gm37323,Gm37323,Gm37323,Mrpl15,Mrpl15,Mrpl15,Lypla1,Lypla1,Lypla1,Tcea1,Tcea1,Tcea1,Rgs20,Rgs20,Rgs20,Gm16041,Gm16041,Gm16041,Atp6v1h,Atp6v1h,Atp6v1h,Oprk1,Oprk1,Oprk1,Npbwr1,Npbwr1,Npbwr1,Rb1cc1,Rb1cc1,Rb1cc1,4732440D04Rik,4732440D04Rik,4732440D04Rik,Alkal1,Alkal1,Alkal1,St18,St18,St18,Pcmtd1,Pcmtd1,Pcmtd1,Gm26901,Gm26901,Gm26901,Gm30414,Gm30414,Gm30414,Sntg1,Sntg1,Sntg1,Rrs1,Rrs1,Rrs1,Adhfe1,Adhfe1,Adhfe1,2610203C22Rik,2610203C22Rik,2610203C22Rik,Vxn,Vxn,Vxn,Gm29520,Gm29520,Gm29520,Mybl1,Mybl1,Mybl1,Vcpip1,Vcpip1,Vcpip1,1700034P13Rik,1700034P13Rik,1700034P13Rik,Sgk3,Sgk3,Sgk3,Mcmdc2,Mcmdc2,Mcmdc2,Snhg6,Snhg6,Snhg6,Tcf24,Tcf24,Tcf24,Ppp1r42,Ppp1r42,Ppp1r42,Gm15818,Gm15818,Gm15818,Cops5,Cops5,Cops5,Cspp1,Cspp1,Cspp1,Arfgef1,Arfgef1,Arfgef1,Cpa6,Cpa6,Cpa6,Prex2,Prex2,Prex2,A830018L16Rik,A830018L16Rik,A830018L16Rik,Gm17644,Gm17644,Gm17644,Gm29663,Gm29663,Gm29663,Sulf1,Sulf1,Sulf1,Slco5a1,Slco5a1,Slco5a1,Gm29283,Gm29283,Gm29283,Prdm14,Prdm14,Prdm14,Ncoa2,Ncoa2,Ncoa2,Gm29570,Gm29570,Gm29570,Tram1,Tram1,Tram1,Lactb2,Lactb2,Lactb2,Xkr9,Xkr9,Xkr9,Eya1,Eya1,Eya1,Gm9947,Gm9947,Gm9947,Msc,Msc,Msc,Trpa1,Trpa1,Trpa1,Kcnb2,Kcnb2,Kcnb2,Terf1,Terf1,Terf1,Sbspon,Sbspon,Sbspon,4930444P10Rik,4930444P10Rik,4930444P10Rik,Rpl7,Rpl7,Rpl7,Rdh10,Rdh10,Rdh10,Gm28095,Gm28095,Gm28095,Stau2,Stau2,Stau2,Gm7568,Gm7568,Gm7568,Ube2w,Ube2w,Ube2w,Eloc,Eloc,Eloc,D030040B21Rik,D030040B21Rik,D030040B21Rik,Tmem70,Tmem70,Tmem70,Ly96,Ly96,Ly96,Gm28376,Gm28376,Gm28376,Jph1,Jph1,Jph1,Gm28783,Gm28783,Gm28783,Gdap1,Gdap1,Gdap1,Gm28784,Gm28784,Gm28784,Pi15,Pi15,Pi15,Gm28154,Gm28154,Gm28154,Gm16070,Gm16070,Gm16070,Crispld1,Crispld1,Crispld1,Gm28153,Gm28153,Gm28153,Gm28756,Gm28756,Gm28756,Crisp4,Crisp4,Crisp4,Defb18,Defb18,Defb18,Defb41,Defb41,Defb41,Gm15825,Gm15825,Gm15825,Tfap2d,Tfap2d,Tfap2d,Tfap2b,Tfap2b,Tfap2b,Gm28340,Gm28340,Gm28340,Pkhd1,Pkhd1,Pkhd1,4930486I03Rik,4930486I03Rik,4930486I03Rik,Gm28653,Gm28653,Gm28653,Il17a,Il17a,Il17a,Il17f,Il17f,Il17f,Mcm3,Mcm3,Mcm3,Gm28065,Gm28065,Gm28065,6720483E21Rik,6720483E21Rik,6720483E21Rik,Paqr8,Paqr8,Paqr8
1694,7.738113,2.0138195,39,0.1687317,1.0537292,39,2.6206563,3.3747177,39,0.0,0.0,39,0.0,0.0,39,0.0,0.0,39,0.0,0.0,39,0.0,0.0,39,1.3358207,2.6719778,39,1.7048565,2.954336,39,5.6162987,3.1758285,39,2.4554603,3.3378088,39,0.0,0.0,39,3.0515213,3.3598058,39,0.0,0.0,39,0.0,0.0,39,3.3762085,3.5308995,39,0.31124967,1.3562661,39,0.0,0.0,39,0.0,0.0,39,5.820554,3.3064158,39,0.3395504,1.4795829,39,0.0,0.0,39,8.854398,0.7364878,39,1.9818878,3.021227,39,0.17255624,1.0776134,39,0.0,0.0,39,0.33110276,1.443691,39,0.0,0.0,39,0.16865206,1.0532317,39,3.2534955,3.584348,39,0.17621295,1.1004496,39,0.99068683,2.358394,39,0.16469128,1.0284967,39,1.6739221,2.900772,39,0.0,0.0,39,0.0,0.0,39,0.0,0.0,39,2.290113,3.3127751,39,5.090757,3.4982233,39,5.0566506,3.046903,39,0.15461369,0.96556216,39,1.0190989,2.426717,39,5.743713,3.0343382,39,0.0,0.0,39,0.0,0.0,39,0.0,0.0,39,0.0,0.0,39,0.0,0.0,39,0.0,0.0,39,4.8954554,3.3549361,39,0.17309962,1.0810069,39,2.097738,3.1989524,39,0.6909839,2.0720644,39,0.0,0.0,39,0.7136684,2.142728,39,0.8458736,2.2388258,39,0.0,0.0,39,0.0,0.0,39,8.388377,0.96537346,39,2.114473,3.2375517,39,0.15913594,0.9938036,39,0.5070347,1.7797325,39,8.741638,0.8143341,39,0.8584143,2.2824612,39,0.0,0.0,39,7.5644984,1.9869454,39,0.17255624,1.0776134,39,6.238665,2.536981,39,5.686485,3.243491,39,0.0,0.0,39,2.4150853,3.2893417,39,0.0,0.0,39,0.0,0.0,39,0.15078722,0.9416659,39,0.0,0.0,39,5.9078116,3.1101282,39,0.0,0.0,39,0.16395473,1.0238969,39,0.0,0.0,39,0.16405818,1.0245429,39,0.15461369,0.96556216,39,0.41254836,1.7981771,39,0.86265576,2.2820058,39,0.0,0.0,39,0.0,0.0,39,0.0,0.0,39,0.0,0.0,39,0.0,0.0,39,0.0,0.0,39,0.0,0.0,39,0.17621295,1.1004496,39,0.0,0.0,39,0.0,0.0,39,0.0,0.0,39,0.0,0.0,39,0.0,0.0,39,0.0,0.0,39,0.33337238,1.4528389,39,0.9771037,2.3252869,39
1695,6.749455,3.3674695,6,0.0,0.0,6,2.5794199,4.071961,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,2.2157872,3.4339366,6,4.971705,3.8826575,6,2.6435673,4.0964127,6,0.0,0.0,6,0.0,0.0,6,1.2480689,3.0571322,6,0.0,0.0,6,0.0,0.0,6,3.7226849,4.093581,6,0.0,0.0,6,0.0,0.0,6,1.0834392,2.6538734,6,6.6617165,3.3628836,6,0.0,0.0,6,0.0,0.0,6,5.951603,4.6890993,6,1.1323478,2.7736745,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,2.2157872,3.4339366,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,1.1323478,2.7736745,6,2.5473053,4.0117383,6,3.926073,4.355936,6,0.0,0.0,6,0.0,0.0,6,2.4300923,3.77774,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,4.921784,3.8257189,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,8.545581,0.70195466,6,3.7894363,4.1522474,6,0.0,0.0,6,0.0,0.0,6,5.733669,4.605114,6,1.0834392,2.6538734,6,0.0,0.0,6,6.852609,3.4115257,6,0.0,0.0,6,1.0834392,2.6538734,6,2.3811224,3.6954274,6,0.0,0.0,6,3.6737764,4.0510783,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,6.386299,3.253435,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,1.1323478,2.7736745,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6
1696,8.949149,1.9303445,85,0.90059483,2.356085,85,3.115722,3.6833096,85,0.0,0.0,85,0.0,0.0,85,0.0,0.0,85,0.0,0.0,85,0.0,0.0,85,1.362803,2.7492073,85,1.7320997,3.0544586,85,4.220416,3.673957,85,2.223266,3.392104,85,0.0,0.0,85,3.3771129,3.6199436,85,1.5800376,2.9735482,85,0.07503918,0.69182706,85,4.1193113,3.668701,85,0.47421548,1.7353431,85,0.08848928,0.8158308,85,0.16430494,1.0659404,85,4.594387,3.7175775,85,0.24006219,1.2628332,85,0.0,0.0,85,8.998833,1.6871186,85,0.9105571,2.3784003,85,0.17082712,1.107123,85,0.0,0.0,85,0.4916796,1.7969393,85,0.0,0.0,85,0.16714671,1.0839344,85,2.7944956,3.5535746,85,0.33152556,1.5053157,85,0.40489745,1.6319215,85,0.8309538,2.2935436,85,1.2929039,2.7047846,85,0.0,0.0,85,0.16147809,1.0471281,85,0.0,0.0,85,1.5877073,2.9887874,85,4.6556463,3.5899913,85,3.1219618,3.6070685,85,0.07386228,0.68097657,85,0.31129685,1.4109687,85,2.8938904,3.6803586,85,0.0,0.0,85,0.0,0.0,85,0.16358021,1.0600814,85,0.3207686,1.4558705,85,0.0,0.0,85,0.0,0.0,85,4.5110207,3.557186,85,0.0,0.0,85,1.6766617,3.0494444,85,0.7307837,2.1421719,85,0.0,0.0,85,0.17789371,1.1532953,85,0.54732525,1.8471287,85,0.0896912,0.82691205,85,0.0,0.0,85,9.714933,0.8829808,85,2.4391022,3.4268498,85,0.0,0.0,85,0.66930145,2.0952942,85,8.884093,1.3101263,85,0.6701886,2.0932446,85,0.0,0.0,85,6.5902314,3.1599185,85,0.0,0.0,85,5.0726123,3.7314823,85,4.8035607,3.6217027,85,0.0,0.0,85,1.213827,2.6498914,85,0.16550858,1.0728905,85,0.0,0.0,85,0.0,0.0,85,0.0,0.0,85,5.2958474,3.3926272,85,0.0,0.0,85,0.07277079,0.6709135,85,0.0,0.0,85,0.084838726,0.7821744,85,0.0,0.0,85,0.0,0.0,85,0.5850163,1.9682178,85,0.0,0.0,85,0.0,0.0,85,0.0,0.0,85,0.0,0.0,85,0.0,0.0,85,0.0,0.0,85,0.0,0.0,85,0.0,0.0,85,0.0,0.0,85,0.0,0.0,85,0.0,0.0,85,0.0,0.0,85,0.0,0.0,85,0.0,0.0,85,0.08338512,0.76877284,85,0.7561294,2.213715,85
1697,9.23533,0.4497694,6,1.9419583,3.0174804,6,3.3528726,3.695586,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,1.9419583,3.0174804,6,2.0489933,3.204106,6,4.663126,3.645196,6,3.3086655,3.7288163,6,0.0,0.0,6,4.7092357,3.7265408,6,4.5416565,3.54827,6,1.0323881,2.5288239,6,5.8442693,2.9238522,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,5.8468056,2.9263182,6,0.0,0.0,6,0.0,0.0,6,9.11938,0.2874251,6,1.0237778,2.5077333,6,0.0,0.0,6,0.0,0.0,6,1.0817207,2.649664,6,0.0,0.0,6,0.0,0.0,6,5.8149376,2.9439406,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,2.2129083,3.4305048,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,2.0730045,3.2115226,6,7.1793976,1.0924034,6,5.4834485,2.7425761,6,0.9095702,2.227983,6,0.97485137,2.3878884,6,4.600639,3.66323,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,6.722199,0.65240383,6,0.0,0.0,6,1.1887369,2.911799,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,1.0817207,2.649664,6,0.0,0.0,6,9.022904,0.5861236,6,2.2380238,3.4798708,6,0.0,0.0,6,1.0406164,2.548979,6,7.9115453,1.3899416,6,1.991291,3.1021388,6,0.0,0.0,6,7.6059546,0.9029062,6,0.0,0.0,6,5.6901307,2.8719182,6,5.6793494,2.8681111,6,0.0,0.0,6,2.0565722,3.192474,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,8.1117325,0.71632147,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,1.0817207,2.649664,6,2.1552057,3.338867,6,1.9419583,3.0174804,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.9095702,2.227983,6
1698,8.793226,2.0454955,71,0.7162965,2.1835601,71,2.9500675,3.7023244,71,0.0,0.0,71,0.0,0.0,71,0.0,0.0,71,0.0,0.0,71,0.0,0.0,71,1.1591448,2.7339997,71,2.15879,3.3704047,71,4.288084,3.7321692,71,4.602396,3.8952122,71,0.0,0.0,71,2.8147442,3.7516286,71,1.1381636,2.684538,71,1.3499283,2.8821712,71,4.3551,3.9028938,71,0.31969437,1.5343977,71,0.0,0.0,71,0.6899592,2.1060147,71,5.8133063,3.475323,71,0.2054106,1.2162685,71,0.0,0.0,71,8.795176,1.6935403,71,1.2176461,2.7252955,71,0.0,0.0,71,0.0,0.0,71,0.5018068,1.83643,71,0.0,0.0,71,0.0,0.0,71,3.1039069,3.6709793,71,0.11792579,0.9936604,71,0.09636932,0.8120223,71,0.8438337,2.3932123,71,1.2329031,2.7580154,71,0.0,0.0,71,0.20413819,1.2080781,71,0.0,0.0,71,1.7589555,3.1725664,71,4.1510386,3.920777,71,3.4432485,3.8583272,71,0.0,0.0,71,0.0,0.0,71,0.51700413,1.9018861,71,0.0,0.0,71,0.0,0.0,71,0.0,0.0,71,0.0,0.0,71,0.0,0.0,71,0.0,0.0,71,3.2301345,3.831039,71,0.21243034,1.2573241,71,1.8803494,3.2618513,71,0.09498433,0.8003522,71,0.0,0.0,71,0.1021553,0.8607758,71,0.18776783,1.1136633,71,0.09498433,0.8003522,71,0.0,0.0,71,8.270391,1.9692377,71,2.2682471,3.4233837,71,0.0,0.0,71,0.399778,1.6508096,71,8.578559,1.7160332,71,0.42379686,1.7506956,71,0.0,0.0,71,7.252077,2.714897,71,0.0,0.0,71,5.1184006,3.8509831,71,3.777667,3.892019,71,0.0,0.0,71,2.0129454,3.2495522,71,0.0,0.0,71,0.09636932,0.8120223,71,0.0,0.0,71,0.0,0.0,71,4.472189,3.7817857,71,0.0,0.0,71,0.0,0.0,71,0.10942551,0.92203575,71,0.10329116,0.8703468,71,0.0,0.0,71,0.09544049,0.8041959,71,0.18438444,1.0914042,71,0.0,0.0,71,0.0,0.0,71,0.0,0.0,71,0.0,0.0,71,0.0,0.0,71,0.0,0.0,71,0.0,0.0,71,0.0,0.0,71,0.0,0.0,71,0.0,0.0,71,0.0,0.0,71,0.0,0.0,71,0.0,0.0,71,0.0,0.0,71,0.0,0.0,71,0.28967804,1.390525,71
1700,7.873868,2.3706164,31,1.0624323,2.4715557,31,2.7594197,3.5855186,31,0.0,0.0,31,0.0,0.0,31,0.0,0.0,31,0.0,0.0,31,0.0,0.0,31,1.4844416,2.8021538,31,1.5221245,2.872706,31,4.952393,3.2570038,31,1.3805455,2.8769891,31,0.0,0.0,31,3.806847,3.5353234,31,1.0283171,2.3870265,31,0.0,0.0,31,5.2784576,3.496005,31,0.645731,2.0063636,31,0.0,0.0,31,0.0,0.0,31,5.9162793,3.0269625,31,0.0,0.0,31,0.0,0.0,31,8.077236,0.9678439,31,1.7057965,2.9438443,31,0.23329397,1.2989259,31,0.0,0.0,31,0.66619456,2.0695577,31,0.0,0.0,31,0.0,0.0,31,5.5574694,3.3683941,31,0.0,0.0,31,0.21767712,1.2119749,31,0.42517078,1.6463931,31,2.004758,3.2025416,31,0.0,0.0,31,0.23552188,1.3113303,31,0.0,0.0,31,3.5458395,3.513231,31,4.9471316,3.5199716,31,3.5905879,3.5869918,31,0.2083938,1.1602876,31,0.85611516,2.2661285,31,3.569159,3.5385623,31,0.0,0.0,31,0.0,0.0,31,0.0,0.0,31,0.22768593,1.2677016,31,0.0,0.0,31,0.0,0.0,31,4.703803,3.348347,31,0.0,0.0,31,2.2057745,3.2583926,31,0.8278533,2.1872036,31,0.0,0.0,31,0.44692937,1.7317913,31,0.419064,1.6224518,31,0.69384176,2.1682327,31,0.0,0.0,31,8.4741955,1.865874,31,1.4678829,2.7697399,31,0.0,0.0,31,0.21492407,1.1966466,31,8.537503,1.0426453,31,1.0901425,2.528981,31,0.0,0.0,31,7.2890477,2.519659,31,0.0,0.0,31,4.1736226,3.643853,31,5.267772,3.1940796,31,0.0,0.0,31,2.520007,3.4732687,31,0.0,0.0,31,0.0,0.0,31,0.0,0.0,31,0.0,0.0,31,6.5058184,2.6670854,31,0.0,0.0,31,0.0,0.0,31,0.0,0.0,31,0.0,0.0,31,0.0,0.0,31,0.2545225,1.4171213,31,0.42884216,1.6633675,31,0.0,0.0,31,0.0,0.0,31,0.0,0.0,31,0.0,0.0,31,0.0,0.0,31,0.0,0.0,31,0.0,0.0,31,0.0,0.0,31,0.0,0.0,31,0.0,0.0,31,0.0,0.0,31,0.0,0.0,31,0.0,0.0,31,0.0,0.0,31,0.18939371,1.0544996,31,0.21827011,1.2152765,31
1701,8.615936,0.8849808,8,0.0,0.0,8,0.79885036,2.25949,8,0.0,0.0,8,0.0,0.0,8,0.0,0.0,8,0.0,0.0,8,0.0,0.0,8,0.79885036,2.25949,8,2.5559733,3.5786972,8,5.485524,3.4441428,8,0.9599946,2.7152748,8,0.0,0.0,8,5.325046,3.3642871,8,1.6191707,2.9984324,8,0.0,0.0,8,5.0928073,3.237206,8,1.6321456,3.0374618,8,0.0,0.0,8,0.0,0.0,8,7.5025263,0.72760767,8,0.0,0.0,8,0.0,0.0,8,8.318311,1.0831829,8,0.0,0.0,8,0.0,0.0,8,0.0,0.0,8,0.7448322,2.1067038,8,0.0,0.0,8,0.0,0.0,8,4.46708,3.7166288,8,0.0,0.0,8,0.7448322,2.1067038,8,0.0,0.0,8,0.0,0.0,8,0.0,0.0,8,0.0,0.0,8,0.0,0.0,8,2.3827953,3.29081,8,3.6776433,3.9634006,8,6.7249384,2.8068626,8,0.0,0.0,8,2.48106,3.4415598,8,3.510013,3.8598258,8,0.0,0.0,8,0.0,0.0,8,0.0,0.0,8,0.0,0.0,8,0.0,0.0,8,0.0,0.0,8,3.2433472,3.4771302,8,0.0,0.0,8,3.5581794,3.820716,8,0.7994868,2.2612903,8,0.0,0.0,8,0.0,0.0,8,0.79885036,2.25949,8,0.0,0.0,8,0.0,0.0,8,7.82112,3.2965832,8,0.9227726,2.6099951,8,0.0,0.0,8,0.0,0.0,8,8.467283,0.5125422,8,0.81968385,2.318416,8,0.0,0.0,8,6.827471,2.8291535,8,0.0,0.0,8,3.7061949,3.9893837,8,5.298395,3.3412015,8,0.0,0.0,8,0.941009,2.6615753,8,0.0,0.0,8,0.0,0.0,8,0.0,0.0,8,0.0,0.0,8,6.215803,3.8567708,8,0.0,0.0,8,0.0,0.0,8,0.9179487,2.5963511,8,0.79885036,2.25949,8,0.0,0.0,8,0.79885036,2.25949,8,0.0,0.0,8,0.0,0.0,8,0.0,0.0,8,0.0,0.0,8,0.0,0.0,8,0.0,0.0,8,0.7994868,2.2612903,8,0.0,0.0,8,0.0,0.0,8,0.0,0.0,8,0.0,0.0,8,0.0,0.0,8,0.0,0.0,8,0.0,0.0,8,0.0,0.0,8,0.0,0.0,8,0.76362455,2.1598563,8
1702,8.859841,1.9827808,49,0.9852564,2.444777,49,3.8563235,3.688699,49,0.0,0.0,49,0.0,0.0,49,0.0,0.0,49,0.0,0.0,49,0.0,0.0,49,0.29208055,1.4306749,49,1.4155884,2.8279762,49,4.5506153,3.850784,49,2.5010357,3.6591291,49,0.0,0.0,49,2.8180006,3.6077344,49,1.66949,3.1778743,49,0.0,0.0,49,3.7987201,3.783929,49,0.42756385,1.6942197,49,0.0,0.0,49,0.857349,2.3345351,49,4.9267874,3.6560514,49,0.29523116,1.44922,49,0.0,0.0,49,9.049669,0.91228193,49,0.7166442,2.1518075,49,0.0,0.0,49,0.0,0.0,49,0.29770955,1.4589725,49,0.0,0.0,49,0.0,0.0,49,2.9064531,3.7127705,49,0.0,0.0,49,0.13526183,0.9468328,49,0.573202,1.944279,49,1.4176525,2.8398917,49,0.0,0.0,49,0.0,0.0,49,0.0,0.0,49,2.5012655,3.4944162,49,4.8246922,3.7626457,49,4.747313,3.708839,49,0.0,0.0,49,0.4203515,1.6640518,49,2.4493353,3.5980256,49,0.0,0.0,49,0.0,0.0,49,0.28031635,1.3730412,49,0.43615192,1.7288321,49,0.0,0.0,49,0.0,0.0,49,4.2714686,3.7617218,49,0.0,0.0,49,1.415326,2.829657,49,0.13363384,0.93543684,49,0.0,0.0,49,0.0,0.0,49,0.28741768,1.4094133,49,0.0,0.0,49,0.0,0.0,49,8.829034,1.5838759,49,2.0127754,3.2301142,49,0.0,0.0,49,0.5659967,1.9194332,49,8.536223,1.4204899,49,0.43358383,1.7156861,49,0.14730729,1.031151,49,6.5291357,3.2046385,49,0.0,0.0,49,5.15987,3.4962292,49,4.638553,3.6048932,49,0.0,0.0,49,2.0294802,3.2490692,49,0.0,0.0,49,0.0,0.0,49,0.0,0.0,49,0.0,0.0,49,5.507276,3.5546644,49,0.0,0.0,49,0.0,0.0,49,0.0,0.0,49,0.0,0.0,49,0.13686025,0.95802176,49,0.13686025,0.95802176,49,0.2852245,1.3981899,49,0.0,0.0,49,0.0,0.0,49,0.0,0.0,49,0.0,0.0,49,0.0,0.0,49,0.0,0.0,49,0.0,0.0,49,0.0,0.0,49,0.0,0.0,49,0.0,0.0,49,0.0,0.0,49,0.0,0.0,49,0.0,0.0,49,0.0,0.0,49,0.0,0.0,49,0.42813164,1.6947895,49
1703,7.78175,2.9934714,9,0.0,0.0,9,1.576242,3.140984,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,2.343309,3.5251079,9,2.5774412,3.9161947,9,5.217801,3.9583893,9,0.7861996,2.358599,9,0.0,0.0,9,1.532784,3.0612962,9,0.68919796,2.0675938,9,0.0,0.0,9,3.9979374,3.8206394,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,6.904901,2.7304947,9,0.0,0.0,9,0.0,0.0,9,7.4986606,3.0221672,9,1.5540322,3.0928552,9,0.0,0.0,9,0.0,0.0,9,0.68919796,2.0675938,9,0.0,0.0,9,0.0,0.0,9,3.183679,3.7940502,9,0.0,0.0,9,0.0,0.0,9,0.724135,2.172405,9,0.7521107,2.2563322,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,3.0489492,3.6364965,9,5.478788,3.1391492,9,3.3521695,4.019925,9,0.0,0.0,9,0.0,0.0,9,3.5069377,4.210039,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,1.5279813,3.0336406,9,0.0,0.0,9,4.27811,4.0795074,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.7417817,2.2253451,9,0.0,0.0,9,0.0,0.0,9,9.016182,0.78038937,9,2.1551147,3.2349143,9,0.0,0.0,9,0.0,0.0,9,8.909853,0.8123599,9,0.0,0.0,9,0.0,0.0,9,7.4270716,2.8425856,9,0.0,0.0,9,4.932884,3.755815,9,4.3410387,4.156501,9,0.0,0.0,9,1.6837852,3.3413293,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,5.93046,3.3846765,9,0.0,0.0,9,0.0,0.0,9,0.7417817,2.2253451,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.0,0.0,9,0.7417817,2.2253451,9
1704,6.8539124,3.3683643,6,0.0,0.0,6,2.7404377,4.251819,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,1.309001,3.2063844,6,1.1670007,2.8585563,6,3.6397035,4.0067935,6,2.1523597,3.3569384,6,0.0,0.0,6,2.4775236,3.8474066,6,0.0,0.0,6,0.0,0.0,6,6.173968,3.1840882,6,2.1424124,3.3394923,6,0.0,0.0,6,0.0,0.0,6,6.854238,3.423605,6,1.1685226,2.8622842,6,0.0,0.0,6,8.351739,1.1226482,6,2.2828906,3.5933404,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,5.1148567,4.028472,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.97388977,2.3855329,6,0.0,0.0,6,1.1169299,2.7359083,6,0.0,0.0,6,2.1523597,3.3569384,6,1.4012012,3.432228,6,3.320882,3.664084,6,0.0,0.0,6,0.0,0.0,6,1.3327276,3.2645023,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,3.5204356,3.9325585,6,0.0,0.0,6,3.2692897,3.6034076,6,0.97388977,2.3855329,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,5.6594486,4.4454474,6,1.1685226,2.8622842,6,0.0,0.0,6,0.0,0.0,6,7.1348405,3.6154442,6,1.1685226,2.8622842,6,0.0,0.0,6,7.60409,0.81573355,6,0.0,0.0,6,6.292951,3.1274507,6,5.268754,4.1573734,6,0.0,0.0,6,5.935147,2.947865,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,4.213432,4.712739,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.97388977,2.3855329,6,0.0,0.0,6,1.1784699,2.8866498,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6,0.0,0.0,6
